program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l235_merged.fq,1000000,235,999915,997789,2126,19285,312750,665754,0.213,1.929,31.275,66.575,332035,
fastp,gen_n1000000_l236_merged.fq,1000000,236,999917,997692,2225,19508,316135,662049,0.223,1.951,31.613,66.205,335643,
fastp,gen_n1000000_l237_merged.fq,1000000,237,999921,997672,2249,20635,318071,658966,0.225,2.063,31.807,65.897,338706,
fastp,gen_n1000000_l238_merged.fq,1000000,238,999925,997648,2277,21316,320110,656222,0.228,2.132,32.011,65.622,341426,
fastp,gen_n1000000_l239_merged.fq,1000000,239,999926,997778,2148,23388,321646,652744,0.215,2.339,32.165,65.274,345034,
fastp,gen_n1000000_l23_merged.fq,1000000,23,999913,1000000,-87,2096,21349,976555,-0.009,0.21,2.135,97.655,23445,
fastp,gen_n1000000_l240_merged.fq,1000000,240,999921,37272,962649,37272,0,0,96.265,3.727,0.0,0.0,37272,
fastp,gen_n1000000_l241_merged.fq,1000000,241,999922,36549,963373,36549,0,0,96.337,3.655,0.0,0.0,36549,
fastp,gen_n1000000_l242_merged.fq,1000000,242,999910,35341,964569,35341,0,0,96.457,3.534,0.0,0.0,35341,
fastp,gen_n1000000_l243_merged.fq,1000000,243,999926,35186,964740,35186,0,0,96.474,3.519,0.0,0.0,35186,
fastp,gen_n1000000_l244_merged.fq,1000000,244,999921,34113,965808,34113,0,0,96.581,3.411,0.0,0.0,34113,
fastp,gen_n1000000_l245_merged.fq,1000000,245,999908,34107,965801,34107,0,0,96.58,3.411,0.0,0.0,34107,
fastp,gen_n1000000_l246_merged.fq,1000000,246,999926,32142,967784,32142,0,0,96.778,3.214,0.0,0.0,32142,
fastp,gen_n1000000_l247_merged.fq,1000000,247,999918,32086,967832,32086,0,0,96.783,3.209,0.0,0.0,32086,
fastp,gen_n1000000_l248_merged.fq,1000000,248,999911,31606,968305,31606,0,0,96.831,3.161,0.0,0.0,31606,
fastp,gen_n1000000_l249_merged.fq,1000000,249,999912,31856,968056,31856,0,0,96.806,3.186,0.0,0.0,31856,
fastp,gen_n1000000_l24_merged.fq,1000000,24,999929,1000000,-71,2163,22146,975691,-0.007,0.216,2.215,97.569,24309,
fastp,gen_n1000000_l250_merged.fq,1000000,250,999916,30741,969175,30741,0,0,96.918,3.074,0.0,0.0,30741,
fastp,gen_n1000000_l25_merged.fq,1000000,25,999922,1000000,-78,1865,22853,975282,-0.008,0.186,2.285,97.528,24718,
fastp,gen_n1000000_l26_merged.fq,1000000,26,999912,1000000,-88,1689,23786,974525,-0.009,0.169,2.379,97.453,25475,
fastp,gen_n1000000_l27_merged.fq,1000000,27,999930,1000000,-70,1441,24523,974036,-0.007,0.144,2.452,97.404,25964,
fastp,gen_n1000000_l28_merged.fq,1000000,28,999922,1000000,-78,1278,25471,973251,-0.008,0.128,2.547,97.325,26749,
fastp,gen_n1000000_l29_merged.fq,1000000,29,999909,1000000,-91,1109,26360,972531,-0.009,0.111,2.636,97.253,27469,
fastp,gen_n1000000_l2_merged.fq,1000000,2,999928,0,999928,0,0,0,99.993,0.0,0.0,0.0,0,
fastp,gen_n1000000_l30_merged.fq,1000000,30,999937,1000000,-63,1031,27079,971890,-0.006,0.103,2.708,97.189,28110,
fastp,gen_n1000000_l31_merged.fq,1000000,31,999928,1000000,-72,895,28277,970828,-0.007,0.089,2.828,97.083,29172,
fastp,gen_n1000000_l32_merged.fq,1000000,32,999921,1000000,-79,796,28887,970317,-0.008,0.08,2.889,97.032,29683,
fastp,gen_n1000000_l33_merged.fq,1000000,33,999929,1000000,-71,669,29818,969513,-0.007,0.067,2.982,96.951,30487,
fastp,gen_n1000000_l34_merged.fq,1000000,34,999934,1000000,-66,645,30868,968487,-0.007,0.065,3.087,96.849,31513,
fastp,gen_n1000000_l35_merged.fq,1000000,35,999903,1000000,-97,546,31763,967691,-0.01,0.055,3.176,96.769,32309,
