program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l27_merged.fq,1000000,27,999930,997688,2242,2,5331,992355,0.224,0.0,0.533,99.236,5333,
ClipAndMerge,gen_n1000000_l28_merged.fq,1000000,28,999922,997387,2535,4,5504,991879,0.254,0.0,0.55,99.188,5508,
ClipAndMerge,gen_n1000000_l29_merged.fq,1000000,29,999909,997312,2597,6,5666,991640,0.26,0.001,0.567,99.164,5672,
ClipAndMerge,gen_n1000000_l2_merged.fq,1000000,2,999928,0,999928,0,0,0,99.993,0.0,0.0,0.0,0,
ClipAndMerge,gen_n1000000_l30_merged.fq,1000000,30,999937,997073,2864,9,5795,991269,0.286,0.001,0.58,99.127,5804,
ClipAndMerge,gen_n1000000_l31_merged.fq,1000000,31,999928,996869,3059,10,6151,990708,0.306,0.001,0.615,99.071,6161,
ClipAndMerge,gen_n1000000_l32_merged.fq,1000000,32,999921,996668,3253,2,6180,990486,0.325,0.0,0.618,99.049,6182,
ClipAndMerge,gen_n1000000_l33_merged.fq,1000000,33,999929,996437,3492,12,6278,990147,0.349,0.001,0.628,99.015,6290,
ClipAndMerge,gen_n1000000_l34_merged.fq,1000000,34,999934,996232,3702,8,6521,989703,0.37,0.001,0.652,98.97,6529,
ClipAndMerge,gen_n1000000_l35_merged.fq,1000000,35,999903,995895,4008,7,6836,989052,0.401,0.001,0.684,98.905,6843,
ClipAndMerge,gen_n1000000_l36_merged.fq,1000000,36,999918,995896,4022,6,6817,989073,0.402,0.001,0.682,98.907,6823,
ClipAndMerge,gen_n1000000_l37_merged.fq,1000000,37,999921,995571,4350,6,7067,988498,0.435,0.001,0.707,98.85,7073,
ClipAndMerge,gen_n1000000_l38_merged.fq,1000000,38,999917,995327,4590,10,7441,987876,0.459,0.001,0.744,98.788,7451,
ClipAndMerge,gen_n1000000_l39_merged.fq,1000000,39,999919,995023,4896,14,7511,987498,0.49,0.001,0.751,98.75,7525,
ClipAndMerge,gen_n1000000_l3_merged.fq,1000000,3,999926,0,999926,0,0,0,99.993,0.0,0.0,0.0,0,
ClipAndMerge,gen_n1000000_l40_merged.fq,1000000,40,999920,999818,102,0,8200,991618,0.01,0.0,0.82,99.162,8200,
ClipAndMerge,gen_n1000000_l41_merged.fq,1000000,41,999900,999815,85,0,8685,991130,0.009,0.0,0.869,99.113,8685,
ClipAndMerge,gen_n1000000_l42_merged.fq,1000000,42,999906,999775,131,0,8737,991038,0.013,0.0,0.874,99.104,8737,
ClipAndMerge,gen_n1000000_l43_merged.fq,1000000,43,999921,999786,135,0,8858,990928,0.013,0.0,0.886,99.093,8858,
ClipAndMerge,gen_n1000000_l44_merged.fq,1000000,44,999910,999763,147,0,9118,990645,0.015,0.0,0.912,99.064,9118,
