program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l232_merged.fq,1000000,232,999935,877411,122589,0.153,0:615782 1:218114 2:38539 3:4532 4:412 5:32
bbmerge,gen_n1000000_l233_merged.fq,1000000,233,999920,868960,131040,0.154,0:607439 1:217576 2:38924 3:4590 4:401 5:27 6:2 7:1
bbmerge,gen_n1000000_l234_merged.fq,1000000,234,999926,835880,164120,0.155,0:581431 1:211084 2:38344 3:4588 4:392 5:34 6:6 7:1
bbmerge,gen_n1000000_l235_merged.fq,1000000,235,999925,830257,169743,0.156,0:575052 1:211514 2:38603 3:4634 4:420 5:31 6:2 90:1
bbmerge,gen_n1000000_l236_merged.fq,1000000,236,999931,817491,182509,0.158,0:563075 1:210217 2:38948 3:4753 4:456 5:42
bbmerge,gen_n1000000_l237_merged.fq,1000000,237,999936,800296,199704,0.159,0:549106 1:206878 2:38985 3:4825 4:456 5:42 6:3 89:1
bbmerge,gen_n1000000_l238_merged.fq,1000000,238,999904,756517,243483,0.161,0:515837 1:197775 2:37584 3:4778 4:503 5:37 6:1 56:1 63:1
bbmerge,gen_n1000000_l239_merged.fq,1000000,239,999903,680311,319689,0.162,0:461919 1:178840 2:34595 3:4518 4:407 5:27 6:2 23:1 58:1 119:1
bbmerge,gen_n1000000_l23_merged.fq,1000000,23,999916,935656,64344,0.003,0:934988 1:668
bbmerge,gen_n1000000_l240_merged.fq,1000000,240,999915,415785,584215,0.163,0:280714 1:110469 2:21489 3:2838 4:258 5:17
bbmerge,gen_n1000000_l241_merged.fq,1000000,241,999916,212182,787818,0.165,0:142657 1:56691 2:11180 3:1512 4:137 5:4 6:1
bbmerge,gen_n1000000_l242_merged.fq,1000000,242,999915,1,999999,15.289,37:1
bbmerge,gen_n1000000_l243_merged.fq,1000000,243,999910,4,999996,25.514,40:1 46:1 77:1 85:1
bbmerge,gen_n1000000_l244_merged.fq,1000000,244,999901,1,999999,40.574,99:1
bbmerge,gen_n1000000_l245_merged.fq,1000000,245,999912,139,999861,17.325,23:7 24:5 25:1 26:8 27:6 28:5 29:7 30:6 31:4 32:8 33:7 34:5 35:4 36:2 37:7 38:5 39:1 40:2 41:1 42:4 43:2 45:3 46:1 47:1 48:1 49:1 50:1 51:1 52:1 55:2 56:1 57:1 58:1 61:2 62:1 63:2 64:3 65:1 68:3 69:2 71:1 74:1 76:1 81:1 83:1 90:1 91:1 95:1 96:1 100:2 106:1 114:1
bbmerge,gen_n1000000_l246_merged.fq,1000000,246,999922,236,999764,16.253,8:3 9:1 11:1 12:2 14:2 15:4 16:2 17:3 18:1 19:1 20:4 21:2 22:8 23:12 24:7 25:4 26:16 27:3 28:3 29:12 30:6 31:8 32:8 33:5 34:4 35:4 36:5 37:3 38:6 39:3 40:5 41:3 42:10 43:7 44:5 45:2 46:4 47:2 48:3 49:1 50:4 51:1 52:3 54:1 55:2 56:1 57:2 60:1 61:2 63:4 65:1 67:1 68:2 69:1 70:1 71:2 77:2 78:2 80:1 81:1 83:1 84:1 85:2 86:2 88:1 94:1 97:1 98:1 114:1 116:1 117:1 123:1 126:2
bbmerge,gen_n1000000_l247_merged.fq,1000000,247,999925,242,999758,16.494,7:2 8:1 10:9 11:3 12:2 13:1 15:7 16:5 17:5 18:1 19:1 20:9 21:1 23:10 24:4 25:5 26:3 27:5 28:4 29:9 30:5 31:4 32:5 33:4 34:10 35:4 36:9 37:5 38:4 39:6 40:5 42:6 43:3 44:4 45:5 46:5 47:3 49:4 50:5 51:3 52:1 53:2 54:4 55:1 56:4 57:1 58:3 59:1 60:3 61:1 62:1 64:4 65:2 66:1 67:1 70:3 72:1 73:1 74:2 77:1 78:2 81:1 82:1 88:1 90:1 94:2 95:2 105:1 113:1 115:1 116:1 124:2 129:1 193:1
bbmerge,gen_n1000000_l248_merged.fq,1000000,248,999926,259,999741,15.519,7:2 8:4 10:9 11:4 12:1 13:2 14:1 15:7 16:2 17:6 18:3 19:2 20:4 21:8 22:2 23:8 24:4 25:11 26:11 27:6 28:4 29:5 30:8 31:4 32:7 33:6 34:5 35:7 36:7 37:1 38:9 39:7 40:7 41:2 42:2 43:5 44:2 45:3 46:6 47:1 48:4 49:1 50:3 51:3 53:3 54:2 55:1 56:4 57:1 58:2 59:2 60:1 61:1 62:2 63:2 64:1 65:3 66:4 70:1 71:1 72:1 74:2 76:2 79:1 82:1 84:1 87:1 88:1 95:2 100:1 101:1 103:1 109:1 114:1 115:1 124:1 125:1 126:2
bbmerge,gen_n1000000_l249_merged.fq,1000000,249,999922,338,999662,15.345,8:3 9:6 10:10 11:10 12:6 13:4 14:3 15:3 16:3 17:8 18:8 19:8 20:2 21:5 22:3 23:18 24:6 25:4 26:8 27:6 28:7 29:9 30:11 31:5 32:8 33:6 34:10 35:6 36:7 37:8 38:4 39:5 40:7 41:8 42:15 43:2 44:1 45:3 46:7 48:7 49:2 50:6 52:2 53:1 54:1 55:1 56:2 57:2 58:1 59:1 60:1 61:3 62:1 63:3 64:4 65:3 66:1 67:2 68:3 69:4 70:2 73:1 74:3 75:2 76:1 77:1 78:2 79:2 80:1 81:2 86:2 89:1 90:2 91:1 92:1 100:1 102:1 108:1 109:1 112:1 114:1 121:1 126:2 127:1
bbmerge,gen_n1000000_l24_merged.fq,1000000,24,999913,935408,64592,0.003,0:934630 1:778
bbmerge,gen_n1000000_l250_merged.fq,1000000,250,999914,287,999713,16.343,9:1 10:1 11:9 12:7 13:3 14:3 15:5 16:2 17:4 18:3 19:11 20:10 21:5 22:2 23:11 24:9 25:3 26:9 27:4 28:13 29:4 30:4 31:5 32:10 33:5 34:6 35:3 36:9 37:9 38:4 39:2 40:10 41:2 42:6 43:5 45:6 46:2 47:1 48:4 49:3 50:5 51:1 52:2 53:3 54:4 55:2 56:2 59:3 60:1 61:2 62:5 64:1 65:2 66:1 68:4 69:1 71:1 74:2 78:1 81:1 82:2 85:1 87:1 88:3 89:1 90:1 94:2 97:1 100:1 101:1 109:1 112:1 119:2 123:1 124:1 126:3 127:3 128:1 129:1
bbmerge,gen_n1000000_l25_merged.fq,1000000,25,999934,933531,66469,0.004,0:932653 1:878
bbmerge,gen_n1000000_l26_merged.fq,1000000,26,999902,934029,65971,0.004,0:933019 1:1010
bbmerge,gen_n1000000_l27_merged.fq,1000000,27,999923,933412,66588,0.005,0:932222 1:1190
bbmerge,gen_n1000000_l28_merged.fq,1000000,28,999925,936700,63300,0.005,0:935332 1:1368
bbmerge,gen_n1000000_l29_merged.fq,1000000,29,999910,936491,63509,0.006,0:934882 1:1609
bbmerge,gen_n1000000_l2_merged.fq,1000000,2,999917,0,1000000,NA,
bbmerge,gen_n1000000_l30_merged.fq,1000000,30,999915,938741,61259,0.007,0:936803 1:1938
bbmerge,gen_n1000000_l31_merged.fq,1000000,31,999941,938027,61973,0.007,0:935869 1:2158
bbmerge,gen_n1000000_l32_merged.fq,1000000,32,999915,937283,62717,0.008,0:934935 1:2348
bbmerge,gen_n1000000_l33_merged.fq,1000000,33,999916,939110,60890,0.008,0:936539 1:2571
bbmerge,gen_n1000000_l34_merged.fq,1000000,34,999923,940268,59732,0.009,0:937305 1:2962 2:1
bbmerge,gen_n1000000_l35_merged.fq,1000000,35,999902,940896,59104,0.01,0:937732 1:3164
bbmerge,gen_n1000000_l36_merged.fq,1000000,36,999911,940271,59729,0.01,0:936729 1:3542
bbmerge,gen_n1000000_l37_merged.fq,1000000,37,999911,941334,58666,0.011,0:937649 1:3685
bbmerge,gen_n1000000_l38_merged.fq,1000000,38,999924,942330,57670,0.012,0:938085 1:4244 2:1
bbmerge,gen_n1000000_l39_merged.fq,1000000,39,999914,943402,56598,0.012,0:939030 1:4370 2:2
