program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
bbmerge,gen_n1000000_l104_se_bb.fq.gz,1000000,104,1000000,985095,14905,0,30986,0.03179591816017745,1.49,0.0,3.145,0.031,954109,95.411
bbmerge,gen_n1000000_l105_se_bb.fq.gz,1000000,105,1000000,984462,15538,0,31197,0.032053040137658945,1.554,0.0,3.169,0.031,953265,95.327
bbmerge,gen_n1000000_l106_se_bb.fq.gz,1000000,106,1000000,984928,15072,0,31791,0.03262979628967803,1.507,0.0,3.228,0.031,953137,95.314
bbmerge,gen_n1000000_l107_se_bb.fq.gz,1000000,107,1000000,985499,14501,0,32025,0.03287167211737404,1.45,0.0,3.25,0.031,953474,95.347
bbmerge,gen_n1000000_l108_se_bb.fq.gz,1000000,108,1000000,986364,13636,0,33108,0.03392459578816745,1.364,0.0,3.357,0.031,953256,95.326
bbmerge,gen_n1000000_l109_se_bb.fq.gz,1000000,109,1000000,988152,11848,0,33256,0.034045369538289655,1.185,0.0,3.365,0.031,954896,95.49
bbmerge,gen_n1000000_l10_se_bb.fq.gz,1000000,10,1000000,0,1000000,0,0,NA,100.0,0.0,NA,NA,0,0.0
bbmerge,gen_n1000000_l110_se_bb.fq.gz,1000000,110,1000000,988316,11684,0,33368,0.03421375349584546,1.168,0.0,3.376,0.031,954948,95.495
bbmerge,gen_n1000000_l111_se_bb.fq.gz,1000000,111,1000000,986237,13763,0,33630,0.03456978393631551,1.376,0.0,3.41,0.031,952607,95.261
bbmerge,gen_n1000000_l112_se_bb.fq.gz,1000000,112,1000000,986969,13031,0,33755,0.03462114818195911,1.303,0.0,3.42,0.031,953214,95.321
bbmerge,gen_n1000000_l113_se_bb.fq.gz,1000000,113,1000000,987667,12333,0,34617,0.03548361947903494,1.233,0.0,3.505,0.031,953050,95.305
bbmerge,gen_n1000000_l114_se_bb.fq.gz,1000000,114,1000000,988004,11996,0,34761,0.03567596892320274,1.2,0.0,3.518,0.031,953243,95.324
bbmerge,gen_n1000000_l115_se_bb.fq.gz,1000000,115,1000000,989091,10909,0,35399,0.036301007692922084,1.091,0.0,3.579,0.032,953692,95.369
bbmerge,gen_n1000000_l116_se_bb.fq.gz,1000000,116,1000000,987915,12085,0,35638,0.03656893558656362,1.209,0.0,3.607,0.032,952277,95.228
bbmerge,gen_n1000000_l117_se_bb.fq.gz,1000000,117,1000000,988246,11754,0,36303,0.03726298917476013,1.175,0.0,3.673,0.032,951943,95.194
bbmerge,gen_n1000000_l118_se_bb.fq.gz,1000000,118,1000000,989305,10695,0,36640,0.037630457745589076,1.069,0.0,3.704,0.032,952665,95.266
bbmerge,gen_n1000000_l119_se_bb.fq.gz,1000000,119,1000000,990567,9433,0,36881,0.03780158232608193,0.943,0.0,3.723,0.032,953686,95.369
bbmerge,gen_n1000000_l11_se_bb.fq.gz,1000000,11,1000000,810056,189944,0,4,4.937930217170171e-06,18.994,0.0,0.0,0.0,810052,81.005
bbmerge,gen_n1000000_l120_se_bb.fq.gz,1000000,120,1000000,989937,10063,0,37339,0.03833072205605003,1.006,0.0,3.772,0.032,952598,95.26
bbmerge,gen_n1000000_l121_se_bb.fq.gz,1000000,121,1000000,988868,11132,0,37936,0.03900722846729796,1.113,0.0,3.836,0.032,950932,95.093
bbmerge,gen_n1000000_l122_se_bb.fq.gz,1000000,122,1000000,988635,11365,0,38397,0.039491824586424716,1.137,0.0,3.884,0.032,950238,95.024
bbmerge,gen_n1000000_l123_se_bb.fq.gz,1000000,123,1000000,989313,10687,0,38920,0.04001564722186002,1.069,0.0,3.934,0.033,950393,95.039
bbmerge,gen_n1000000_l124_se_bb.fq.gz,1000000,124,1000000,989297,10703,0,38866,0.03998799147273266,1.07,0.0,3.929,0.032,950431,95.043
