program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,14,3,s1,18
AdapterRemoval,match,14,4,s1,20
AdapterRemoval,match,14,5,s1,21
AdapterRemoval,match,14,6,s1,23
AdapterRemoval,match,14,7,s1,24
AdapterRemoval,match,14,8,s1,25
AdapterRemoval,match,14,9,s1,27
AdapterRemoval,match,14,10,s1,28
AdapterRemoval,match,14,11,s1,29
AdapterRemoval,match,14,12,s1,30
AdapterRemoval,match,14,13,s1,31
AdapterRemoval,match,14,14,s1,32
AdapterRemoval,match,14,15,s1,33
AdapterRemoval,match,14,16,s1,34
AdapterRemoval,match,14,17,s1,35
AdapterRemoval,match,14,18,s1,36
AdapterRemoval,match,14,19,s1,37
AdapterRemoval,match,14,20,s1,38
AdapterRemoval,match,14,21,s1,39
AdapterRemoval,match,14,22,s1,40
AdapterRemoval,match,14,23,s1,41
AdapterRemoval,match,14,24,s1,42
AdapterRemoval,match,14,25,s1,43
AdapterRemoval,match,14,26,s1,44
AdapterRemoval,match,14,27,s1,45
AdapterRemoval,match,14,28,s1,46
AdapterRemoval,match,14,29,s1,47
AdapterRemoval,match,14,30,s1,48
AdapterRemoval,match,14,31,s1,49
AdapterRemoval,match,14,32,s1,50
AdapterRemoval,match,14,33,s1,51
AdapterRemoval,match,14,34,s1,52
AdapterRemoval,match,14,35,s1,53
AdapterRemoval,match,14,36,s1,54
AdapterRemoval,match,14,37,s1,55
AdapterRemoval,match,14,38,s1,56
AdapterRemoval,match,14,39,s1,57
AdapterRemoval,match,14,40,s1,58
AdapterRemoval,match,14,41,s1,59
AdapterRemoval,match,15,0,s1,14
AdapterRemoval,match,15,1,s1,14
AdapterRemoval,match,15,2,s1,17
AdapterRemoval,match,15,3,s1,19
AdapterRemoval,match,15,4,s1,21
AdapterRemoval,match,15,5,s1,23
AdapterRemoval,match,15,6,s1,24
AdapterRemoval,match,15,7,s1,25
AdapterRemoval,match,15,8,s1,26
AdapterRemoval,match,15,9,s1,28
AdapterRemoval,match,15,10,s1,29
AdapterRemoval,match,15,11,s1,30
AdapterRemoval,match,15,12,s1,31
AdapterRemoval,match,15,13,s1,32
AdapterRemoval,match,15,14,s1,33
AdapterRemoval,match,15,15,s1,34
AdapterRemoval,match,15,16,s1,35
AdapterRemoval,match,15,17,s1,36
AdapterRemoval,match,15,18,s1,37
AdapterRemoval,match,15,19,s1,38
AdapterRemoval,match,15,20,s1,39
AdapterRemoval,match,15,21,s1,40
AdapterRemoval,match,15,22,s1,41
AdapterRemoval,match,15,23,s1,42
AdapterRemoval,match,15,24,s1,43
AdapterRemoval,match,15,25,s1,44
AdapterRemoval,match,15,26,s1,45
AdapterRemoval,match,15,27,s1,46
AdapterRemoval,match,15,28,s1,47
AdapterRemoval,match,15,29,s1,48
AdapterRemoval,match,15,30,s1,49
AdapterRemoval,match,15,31,s1,50
AdapterRemoval,match,15,32,s1,51
AdapterRemoval,match,15,33,s1,52
AdapterRemoval,match,15,34,s1,53
AdapterRemoval,match,15,35,s1,54
AdapterRemoval,match,15,36,s1,55
AdapterRemoval,match,15,37,s1,56
AdapterRemoval,match,15,38,s1,57
AdapterRemoval,match,15,39,s1,58
AdapterRemoval,match,15,40,s1,59
AdapterRemoval,match,15,41,s1,60
AdapterRemoval,match,16,0,s1,16
AdapterRemoval,match,16,1,s1,16
AdapterRemoval,match,16,2,s1,18
AdapterRemoval,match,16,3,s1,20
AdapterRemoval,match,16,4,s1,22
AdapterRemoval,match,16,5,s1,24
